"create_time","id","travel_date","departure_city","departure_city_name","departure_time","arrival_city","arrival_city_name","arrival_time","duration","stopover","stopover_duration","min_price","min_price_tax","min_price_discount","min_business_price","min_business_price_tax","departure_airport","departure_airport_name","departure_terminal","arrival_airport","arrival_airport_name","arrival_terminal","seat_left","default_cabin","segment_list","economy_policies","business_policies","flights_info","data_source","task_id"
"16/2/2025 21:02:10.58","1891110825434370049","26/2/2025 00:00:00","HKG","香港","2025-02-26 18:00:00","IST","伊斯坦堡","2025-02-27 17:35:00","1715","杜拜,","545,","3123","1671",,,,"HKG","","T1","IST","",,"9","T,T",,,,"香港:EK383,杜拜:EK2094,","trip",
"16/2/2025 21:02:10.58","1891110825434370050","26/2/2025 00:00:00","HKG","香港","2025-02-26 18:50:00","IST","伊斯坦堡","2025-02-27 08:35:00","1125","新加坡,","240,","5386","309",,,,"HKG","","T1","IST","",,"9","Q,Q",,,,"香港:SQ895,新加坡:SQ392,","trip",
"16/2/2025 21:02:10.58","1891110825434370051","26/2/2025 00:00:00","HKG","香港","2025-02-26 18:00:00","IST","伊斯坦堡","2025-02-27 18:30:00","1770","杜拜,","545,","3123","1671",,,,"HKG","","T1","IST","",,"9","T,T",,,,"香港:EK383,杜拜:EK121,","trip",
"16/2/2025 21:02:10.581","1891110825438564354","26/2/2025 00:00:00","HKG","香港","2025-02-26 18:00:00","IST","伊斯坦堡","2025-02-27 21:55:00","1975","杜拜,","545,","3123","1671",,,,"HKG","","T1","IST","",,"9","T,T",,,,"香港:EK383,杜拜:EK117,","trip",
"16/2/2025 21:02:10.581","1891110825438564355","26/2/2025 00:00:00","HKG","香港","2025-02-26 18:00:00","IST","伊斯坦堡","2025-02-28 00:50:00","2150","杜拜,","545,","3123","1671",,,,"HKG","","T1","IST","",,"9","T,T",,,,"香港:EK383,杜拜:EK2214,","trip",
"16/2/2025 21:02:10.581","1891110825438564356","26/2/2025 00:00:00","HKG","香港","2025-02-26 17:40:00","IST","伊斯坦堡","2025-02-27 08:10:00","1170","上海,","150,","3142","1677",,,,"HKG","","T1","IST","",,"9","B,Z",,,,"香港:FM3024,上海:MU703,","trip",
"16/2/2025 21:02:10.581","1891110825438564357","26/2/2025 00:00:00","HKG","香港","2025-02-26 18:45:00","IST","伊斯坦堡","2025-02-27 08:10:00","1105","上海,","155,","3388","814",,,,"HKG","","T1","IST","",,"9","V,V",,,,"香港:MU8630,上海:MU703,","trip",
"16/2/2025 21:02:10.582","1891110825442758658","26/2/2025 00:00:00","HKG","香港","2025-02-26 15:25:00","IST","伊斯坦堡","2025-02-27 08:10:00","1305","上海,","155,","3390","817",,,,"HKG","","T1","IST","",,"9","B,V",,,,"香港:MU508,上海:MU703,","trip",
"16/2/2025 21:02:10.582","1891110825442758659","26/2/2025 00:00:00","HKG","香港","2025-02-26 17:00:00","IST","伊斯坦堡","2025-02-27 06:20:00","1100","北京,","210,","3690","1961",,,,"HKG","","T1","IST","",,"9","N,V",,,,"香港:CX312,北京:TK089,","trip",
"16/2/2025 21:02:10.582","1891110825442758660","26/2/2025 00:00:00","HKG","香港","2025-02-26 17:50:00","IST","伊斯坦堡","2025-02-27 06:20:00","1050","北京,","200,","3741","1964",,,,"HKG","","T1","IST","",,"9","P,V",,,,"香港:CA110,北京:TK089,","trip",
"16/2/2025 21:02:10.583","1891110825442758661","26/2/2025 00:00:00","HKG","香港","2025-02-26 15:30:00","IST","伊斯坦堡","2025-02-27 06:05:00","1175","曼谷,","165,","4811","1702",,,,"HKG","","T1","IST","",,"3","K,K",,,,"香港:TG629,曼谷:TG900,","trip",
"16/2/2025 21:02:10.583","1891110825442758662","26/2/2025 00:00:00","HKG","香港","2025-02-26 19:20:00","IST","伊斯坦堡","2025-02-27 08:10:00","1070","上海,","160,","4352","1731",,,,"HKG","","T1","IST","",,"9","Q,Z",,,,"香港:CX362,上海:MU703,","trip",
"16/2/2025 21:02:10.583","1891110825442758663","26/2/2025 00:00:00","HKG","香港","2025-02-26 15:25:00","IST","伊斯坦堡","2025-02-27 08:10:00","1305","上海,","155,","3148","1677",,,,"HKG","","T1","IST","",,"9","B,Z",,,,"香港:FM3022,上海:MU703,","trip",
"16/2/2025 21:02:10.584","1891110825451147265","26/2/2025 00:00:00","HKG","香港","2025-02-26 15:55:00","IST","伊斯坦堡","2025-02-27 06:20:00","1165","北京,","215,","3575","1970",,,,"HKG","","T1","IST","",,"9","W,V",,,,"香港:HX312,北京:TK089,","trip",
"16/2/2025 21:02:10.584","1891110825451147266","26/2/2025 00:00:00","HKG","香港","2025-02-26 00:50:00","IST","伊斯坦堡","2025-02-26 15:40:00","1190","首爾,","210,","5804","978",,,,"HKG","","T1","IST","",,"9","K,K",,,,"香港:OZ746,首爾:OZ551,","trip",
"16/2/2025 21:02:10.584","1891110825451147267","26/2/2025 00:00:00","HKG","香港","2025-02-26 18:05:00","IST","伊斯坦堡","2025-02-27 18:40:00","1775","多哈,","580,","3262","1194",,,,"HKG","","T1","IST","",,"9","O,O",,,,"香港:QR817,多哈:QR245,","trip",
"16/2/2025 21:02:10.584","1891110825451147268","26/2/2025 00:00:00","HKG","香港","2025-02-26 15:45:00","IST","伊斯坦堡","2025-02-27 08:35:00","1310","新加坡,","245,","5398","308",,,,"HKG","","T1","IST","",,"9","Q,Q",,,,"香港:SQ893,新加坡:SQ392,","trip",
"16/2/2025 21:02:10.585","1891110825455341569","26/2/2025 00:00:00","HKG","香港","2025-02-26 13:40:00","IST","伊斯坦堡","2025-02-27 08:10:00","1410","上海,","155,","3150","1677",,,,"HKG","","T1","IST","",,"9","B,Z",,,,"香港:FM3026,上海:MU703,","trip",
"16/2/2025 21:02:10.585","1891110825455341570","26/2/2025 00:00:00","HKG","香港","2025-02-26 17:55:00","IST","伊斯坦堡","2025-02-27 08:10:00","1155","上海,","155,","3995","1740",,,,"HKG","","T1","IST","",,"9","O,Z",,,,"香港:HX232,上海:MU703,","trip",
"16/2/2025 21:02:10.586","1891110825459535873","26/2/2025 00:00:00","HKG","香港","2025-02-26 12:25:00","IST","伊斯坦堡","2025-02-27 14:30:00","1865","烏蘭巴托,","280,","3590","934",,,,"HKG","","T1","IST","",,"9","U,U",,,,"香港:OM298,烏蘭巴托:OM161,","trip",
"16/2/2025 21:02:10.586","1891110825459535874","26/2/2025 00:00:00","HKG","香港","2025-02-26 12:45:00","IST","伊斯坦堡","2025-02-27 06:05:00","1340","曼谷,","160,","4811","1702",,,,"HKG","","T1","IST","",,"3","K,K",,,,"香港:TG601,曼谷:TG900,","trip",
"16/2/2025 21:02:10.586","1891110825459535875","26/2/2025 00:00:00","HKG","香港","2025-02-26 14:10:00","IST","伊斯坦堡","2025-02-27 08:35:00","1405","新加坡,","240,","5386","309",,,,"HKG","","T1","IST","",,"9","Q,Q",,,,"香港:SQ883,新加坡:SQ392,","trip",
"16/2/2025 21:02:10.587","1891110825463730178","26/2/2025 00:00:00","HKG","香港","2025-02-26 14:05:00","IST","伊斯坦堡","2025-02-27 06:20:00","1275","北京,","200,","3377","1932",,,,"HKG","","T1","IST","",,"9","Z,V",,,,"香港:CZ356,北京:TK089,","trip",
"16/2/2025 21:02:10.587","1891110825463730179","26/2/2025 00:00:00","HKG","香港","2025-02-26 12:30:00","IST","伊斯坦堡","2025-02-27 08:35:00","1505","新加坡,","240,","5398","308",,,,"HKG","","T1","IST","",,"9","Q,Q",,,,"香港:SQ875,新加坡:SQ392,","trip",
"16/2/2025 21:02:10.587","1891110825463730180","26/2/2025 00:00:00","HKG","香港","2025-02-26 09:05:00","IST","伊斯坦堡","2025-02-27 08:35:00","1710","新加坡,","240,","5398","308",,,,"HKG","","T1","IST","",,"9","Q,Q",,,,"香港:SQ899,新加坡:SQ392,","trip",
"16/2/2025 21:02:10.588","1891110825467924482","26/2/2025 00:00:00","HKG","香港","2025-02-26 21:00:00","IST","伊斯坦堡","2025-02-27 14:25:00","1345","杜拜,","715,","9662","1678",,,,"HKG","","T1","IST","",,"3","Y,Y",,,,"香港:EK385,杜拜:EK123,","trip",
"16/2/2025 21:02:10.588","1891110825467924483","26/2/2025 00:00:00","HKG","香港","2025-02-26 23:25:00","IST","伊斯坦堡","2025-02-27 16:55:00","1350","阿姆斯特丹,","855,","7883","955",,,,"HKG","","T1","IST","",,"8","H,K",,,,"香港:KL888,阿姆斯特丹:KL1959,","trip",
"16/2/2025 21:02:10.589","1891110825467924484","26/2/2025 00:00:00","HKG","香港","2025-02-26 22:40:00","IST","伊斯坦堡","2025-02-28 04:10:00","2070","巴黎,","850,","7385","1060",,,,"HKG","","T1","IST","",,"2","L,L",,,,"香港:AF185,巴黎:AF1390,","trip",
"16/2/2025 21:02:10.589","1891110825467924485","26/2/2025 00:00:00","HKG","香港","2025-02-26 18:45:00","IST","伊斯坦堡","2025-02-27 08:10:00","1105","上海,","155,","4333","1669",,,,"HKG","","T1","IST","",,"9","V,V",,,,"香港:FM810,上海:MU703,","trip",
"16/2/2025 21:02:10.589","1891110825467924486","26/2/2025 00:00:00","HKG","香港","2025-02-26 14:35:00","IST","伊斯坦堡","2025-02-27 06:20:00","1245","北京,","205,","3713","1964",,,,"HKG","","T1","IST","",,"9","P,V",,,,"香港:CA112,北京:TK089,","trip",
"16/2/2025 21:02:10.59","1891110825476313090","26/2/2025 00:00:00","HKG","香港","2025-02-26 13:15:00","IST","伊斯坦堡","2025-02-27 08:10:00","1435","上海,","125,","3242","1669",,,,"HKG","","T1","IST","",,"9","B,Z",,,,"香港:FM3012,上海:MU703,","trip",
"16/2/2025 21:02:10.59","1891110825476313091","26/2/2025 00:00:00","HKG","香港","2025-02-26 13:25:00","IST","伊斯坦堡","2025-02-27 06:20:00","1315","北京,","195,","3315","1903",,,,"HKG","","T1","IST","",,"9","Z,V",,,,"香港:MU854,北京:TK089,","trip",
"16/2/2025 21:02:10.59","1891110825476313092","26/2/2025 00:00:00","HKG","香港","2025-02-26 20:15:00","IST","伊斯坦堡","2025-02-27 06:20:00","905","北京,","200,","20078","1038",,,,"HKG","","T1","IST","",,"4","H,B",,,,"香港:CA116,北京:CA5231,","trip",
